team1_recent_wins,team1_recent_losses,team1_recent_win_pct,team1_recent_avg_margin,team1_recent_matches,team2_recent_wins,team2_recent_losses,team2_recent_win_pct,team2_recent_avg_margin,team2_recent_matches,form_win_pct_diff,team1_season_matches_played,team1_season_wins,team1_season_losses,team1_season_points,team1_season_win_pct,team2_season_matches_played,team2_season_wins,team2_season_losses,team2_season_points,team2_season_win_pct,points_diff,h2h_matches,h2h_win_pct_team1,h2h_win_pct_team2,venue_avg_first_innings_runs,team1_venue_win_pct,team2_venue_win_pct,venue_win_pct_diff,toss_winner_is_team1,toss_decision_bat,team1_top_batter_form_avg,team1_top_bowler_form_avg,team2_top_batter_form_avg,team2_top_bowler_form_avg,match_number_in_season,team1_won,winner,match_id,date,team1,team2
0,0,0.5,0.0,0,0,0,0.5,0.0,0,0.0,14,4,10,8,0.2857,13,6,7,12,0.4615,-4,0,0.5,0.5,168.06153846153848,0.5,0.5,0.0,1,0,0.0,0.0,0.0,0.0,27,0,Kolkata Knight Riders,335982,2008-04-18,Royal Challengers Bengaluru,Kolkata Knight Riders
0,0,0.5,0.0,0,0,0,0.5,0.0,0,0.0,15,10,5,20,0.6667,16,9,7,18,0.5625,2,0,0.5,0.5,163.28571428571428,0.5,0.5,0.0,0,1,0.0,0.0,0.0,0.0,31,0,Chennai Super Kings,335983,2008-04-19,Punjab Kings,Chennai Super Kings
0,0,0.5,0.0,0,0,0,0.5,0.0,0,0.0,14,7,7,14,0.5,16,13,3,26,0.8125,-12,0,0.5,0.5,161.63333333333333,0.5,0.5,0.0,0,1,0.0,0.0,0.0,0.0,30,1,Delhi Capitals,335984,2008-04-19,Delhi Capitals,Rajasthan Royals
1,0,1.0,140.0,1,0,0,0.5,0.0,0,0.5,13,6,7,12,0.4615,14,2,12,4,0.1429,8,0,0.5,0.5,160.1818181818182,0.5,0.5,0.0,0,1,160.63,26.0,0.0,0.0,27,1,Kolkata Knight Riders,335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers
0,0,0.5,0.0,0,0,1,0.0,0.0,1,0.5,14,7,7,14,0.5,14,4,10,8,0.2857,6,0,0.5,0.5,166.02739726027397,0.5,0.5,0.0,1,1,0.0,0.0,57.75,-12.0,28,0,Royal Challengers Bengaluru,335985,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru
0,1,0.0,0.0,1,0,1,0.0,0.0,1,0.0,16,13,3,26,0.8125,15,10,5,20,0.6667,6,0,0.5,0.5,157.68085106382978,0.5,0.5,0.0,0,1,82.58,-10.92,158.68,-7.0,31,1,Rajasthan Royals,335987,2008-04-21,Rajasthan Royals,Punjab Kings
0,1,0.0,0.0,1,1,0,1.0,90.0,1,-1.0,14,2,12,4,0.1429,14,7,7,14,0.5,-10,0,0.5,0.5,156.14285714285714,0.5,0.5,0.0,1,1,82.27,5.75,153.15,13.0,28,0,Delhi Capitals,335988,2008-04-22,Deccan Chargers,Delhi Capitals
1,0,1.0,33.0,1,0,1,0.0,0.0,1,1.0,16,9,7,18,0.5625,14,7,7,14,0.5,4,0,0.5,0.5,166.02083333333334,0.5,0.5,0.0,0,0,187.84,-3.75,113.03,2.25,30,1,Chennai Super Kings,335989,2008-04-23,Chennai Super Kings,Mumbai Indians
0,2,0.0,0.0,2,1,1,0.5,60.0,2,-0.5,14,2,12,4,0.1429,16,13,3,26,0.8125,-22,0,0.5,0.5,156.14285714285714,0.0,0.5,-0.5,0,0,89.77,17.83,140.97,5.61,30,0,Rajasthan Royals,335990,2008-04-24,Deccan Chargers,Rajasthan Royals
0,2,0.0,0.0,2,0,2,0.0,0.0,2,0.0,15,10,5,20,0.6667,14,7,7,14,0.5,6,0,0.5,0.5,163.28571428571428,0.0,0.5,-0.5,0,0,148.29,20.25,146.64,-2.0,29,1,Punjab Kings,335991,2008-04-25,Punjab Kings,Mumbai Indians
2,0,1.0,19.5,2,2,0,1.0,95.0,2,0.0,16,9,7,18,0.5625,13,6,7,12,0.4615,6,0,0.5,0.5,166.02083333333334,1.0,0.5,0.5,0,1,223.14,20.88,172.0,42.5,29,1,Chennai Super Kings,335993,2008-04-26,Chennai Super Kings,Kolkata Knight Riders
1,1,0.5,50.0,2,2,1,0.6667,45.0,3,-0.16669999999999996,14,4,10,8,0.2857,16,13,3,26,0.8125,-18,0,0.5,0.5,168.06153846153848,0.0,0.5,-0.5,0,0,100.61,14.75,149.16,3.45,30,0,Rajasthan Royals,335992,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals
0,3,0.0,0.0,3,0,3,0.0,0.0,3,0.0,14,7,7,14,0.5,14,2,12,4,0.1429,10,0,0.5,0.5,146.64705882352942,0.5,0.5,0.0,0,0,106.31,20.14,133.11,29.1,28,0,Deccan Chargers,335994,2008-04-27,Mumbai Indians,Deccan Chargers
1,2,0.3333,66.0,3,2,0,1.0,90.0,2,-0.6667000000000001,15,10,5,20,0.6667,14,7,7,14,0.5,6,0,0.5,0.5,163.28571428571428,0.5,0.5,0.0,0,1,137.95,46.17,205.57,26.25,29,1,Punjab Kings,335995,2008-04-27,Punjab Kings,Delhi Capitals
1,2,0.3333,50.0,3,3,0,1.0,43.0,3,-0.6667000000000001,14,4,10,8,0.2857,16,9,7,18,0.5625,-10,0,0.5,0.5,168.06153846153848,0.0,0.5,-0.5,0,1,104.91,28.51,232.4,37.08,30,0,Chennai Super Kings,335996,2008-04-28,Royal Challengers Bengaluru,Chennai Super Kings
2,1,0.6667,95.0,3,0,4,0.0,0.0,4,0.6667,13,6,7,12,0.4615,14,7,7,14,0.5,-2,0,0.5,0.5,160.1818181818182,1.0,0.5,0.5,1,1,124.34,27.06,97.06,18.81,27,0,Mumbai Indians,335997,2008-04-29,Kolkata Knight Riders,Mumbai Indians
2,1,0.6667,90.0,3,1,3,0.25,50.0,4,0.41669999999999996,14,7,7,14,0.5,14,4,10,8,0.2857,6,0,0.5,0.5,161.63333333333333,1.0,0.5,0.5,0,0,164.18,31.91,131.68,58.49,28,1,Delhi Capitals,335998,2008-04-30,Delhi Capitals,Royal Challengers Bengaluru
1,3,0.25,100.0,4,2,2,0.5,53.0,4,-0.25,14,2,12,4,0.1429,15,10,5,20,0.6667,-16,0,0.5,0.5,156.14285714285714,0.0,0.5,-0.5,0,0,162.25,60.09,171.7,68.44,29,0,Punjab Kings,335999,2008-05-01,Deccan Chargers,Punjab Kings
3,1,0.75,53.33,4,2,2,0.5,95.0,4,0.25,16,13,3,26,0.8125,13,6,7,12,0.4615,14,0,0.5,0.5,157.68085106382978,1.0,0.5,0.5,1,1,155.88,36.09,106.64,70.96,29,1,Rajasthan Royals,336000,2008-05-01,Rajasthan Royals,Kolkata Knight Riders
4,0,1.0,35.5,4,3,1,0.75,63.33,4,0.25,16,9,7,18,0.5625,14,7,7,14,0.5,4,0,0.5,0.5,166.02083333333334,1.0,0.5,0.5,1,1,195.33,57.31,174.46,46.52,30,0,Delhi Capitals,336001,2008-05-02,Chennai Super Kings,Delhi Capitals
1,4,0.2,50.0,5,1,4,0.2,100.0,5,0.0,14,4,10,8,0.2857,14,2,12,4,0.1429,4,0,0.5,0.5,168.06153846153848,0.0,0.5,-0.5,0,0,104.98,66.02,170.57,36.43,28,1,Royal Challengers Bengaluru,336034,2008-05-03,Royal Challengers Bengaluru,Deccan Chargers
3,2,0.6,58.67,5,2,3,0.4,95.0,5,0.19999999999999996,15,10,5,20,0.6667,13,6,7,12,0.4615,8,0,0.5,0.5,163.28571428571428,0.6667,0.5,0.16669999999999996,1,1,162.96,80.33,119.96,76.71,28,1,Punjab Kings,336003,2008-05-03,Punjab Kings,Kolkata Knight Riders
1,4,0.2,70.0,5,4,1,0.8,67.5,5,-0.6000000000000001,14,7,7,14,0.5,14,7,7,14,0.5,0,0,0.5,0.5,146.64705882352942,0.0,0.5,-0.5,0,0,118.12,34.45,175.45,61.59,28,1,Mumbai Indians,336004,2008-05-04,Mumbai Indians,Delhi Capitals
4,1,0.8,51.25,5,4,1,0.8,35.5,5,0.0,16,13,3,26,0.8125,16,9,7,18,0.5625,8,0,0.5,0.5,157.68085106382978,1.0,0.5,0.5,0,1,139.4,66.43,190.63,94.74,32,1,Rajasthan Royals,336005,2008-05-04,Rajasthan Royals,Chennai Super Kings
2,3,0.4,26.5,5,4,1,0.8,46.25,5,-0.4,14,4,10,8,0.2857,15,10,5,20,0.6667,-12,0,0.5,0.5,168.06153846153848,0.25,0.5,-0.25,0,0,89.49,104.33,172.17,111.52,29,0,Punjab Kings,336006,2008-05-05,Royal Challengers Bengaluru,Punjab Kings
3,2,0.6,36.33,5,1,4,0.2,100.0,5,0.39999999999999997,16,9,7,18,0.5625,14,2,12,4,0.1429,14,0,0.5,0.5,166.02083333333334,0.6667,0.5,0.16669999999999996,0,0,162.96,74.79,155.85,89.32,30,0,Deccan Chargers,336007,2008-05-06,Chennai Super Kings,Deccan Chargers
2,3,0.4,49.5,5,5,0,1.0,57.0,5,-0.6,14,7,7,14,0.5,16,13,3,26,0.8125,-12,0,0.5,0.5,146.64705882352942,0.5,0.5,0.0,1,0,113.31,73.53,143.09,74.74,30,1,Mumbai Indians,336008,2008-05-07,Mumbai Indians,Rajasthan Royals
1,4,0.2,50.0,5,1,4,0.2,3.0,5,0.0,13,6,7,12,0.4615,14,4,10,8,0.2857,4,1,1.0,0.0,160.1818181818182,0.5,0.5,0.0,1,1,125.68,75.23,90.39,134.76,27,1,Kolkata Knight Riders,336010,2008-05-08,Kolkata Knight Riders,Royal Challengers Bengaluru
3,2,0.6,60.0,5,2,3,0.4,51.5,5,0.19999999999999996,14,7,7,14,0.5,16,9,7,18,0.5625,-4,1,1.0,0.0,161.63333333333333,1.0,0.5,0.5,0,0,152.86,82.33,157.18,90.31,30,0,Chennai Super Kings,336009,2008-05-08,Delhi Capitals,Chennai Super Kings
4,1,0.8,56.25,5,2,3,0.4,85.0,5,0.4,16,13,3,26,0.8125,14,2,12,4,0.1429,22,1,1.0,0.0,157.68085106382978,1.0,0.5,0.5,1,0,133.05,89.96,131.3,112.1,30,1,Rajasthan Royals,336011,2008-05-09,Rajasthan Royals,Deccan Chargers
2,3,0.4,26.5,5,5,0,1.0,49.0,5,-0.6,16,9,7,18,0.5625,15,10,5,20,0.6667,-2,1,1.0,0.0,166.02083333333334,0.5,0.5,0.0,0,0,151.43,97.74,146.58,135.23,31,1,Chennai Super Kings,336013,2008-05-10,Chennai Super Kings,Punjab Kings
2,3,0.4,85.0,5,1,4,0.2,5.0,5,0.2,14,2,12,4,0.1429,13,6,7,12,0.4615,-8,1,0.0,1.0,156.14285714285714,0.0,0.5,-0.5,0,1,126.94,120.08,126.41,62.23,27,0,Kolkata Knight Riders,336014,2008-05-11,Deccan Chargers,Kolkata Knight Riders
4,1,0.8,68.75,5,2,3,0.4,45.0,5,0.4,16,13,3,26,0.8125,14,7,7,14,0.5,12,1,0.0,1.0,157.68085106382978,1.0,0.5,0.5,1,0,134.06,105.07,153.25,90.02,30,1,Rajasthan Royals,336015,2008-05-11,Rajasthan Royals,Delhi Capitals
4,1,0.8,44.75,5,1,4,0.2,3.0,5,0.6000000000000001,15,10,5,20,0.6667,14,4,10,8,0.2857,12,1,1.0,0.0,163.28571428571428,0.75,0.5,0.25,0,1,140.88,150.16,99.57,149.19,29,1,Punjab Kings,336016,2008-05-12,Punjab Kings,Royal Challengers Bengaluru
