bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
RJ Gleeson,3,73,111,2,4,1,24,14,3,68,11.2,9.79,55.5,34.0,32.88,40.0,1.0,26.0,24.0,10.0,21.0,0.0,19.0,18.0,7.0,50.0,1.0,28.0,26.0,11.54,1,31
RJ Harris,37,865,1085,47,32,1,364,119,27,832,138.4,7.82,23.09,17.7,42.08,480.0,14.0,449.0,426.0,6.76,171.0,6.0,135.0,132.0,7.77,434.0,27.0,281.0,274.0,9.5,4,34
RJ Peterson,4,48,70,3,0,0,21,5,5,48,8.0,8.75,23.33,16.0,43.75,10.0,0.0,12.0,12.0,5.0,21.0,1.0,18.0,18.0,7.0,39.0,2.0,18.0,18.0,13.0,3,37
RJW Topley,6,125,222,5,5,0,44,23,13,120,20.0,11.1,44.4,24.0,35.2,91.0,2.0,61.0,60.0,9.1,62.0,1.0,33.0,30.0,12.4,69.0,2.0,31.0,30.0,13.8,2,27
RN ten Doeschate,10,83,94,3,5,0,22,4,3,78,13.0,7.23,31.33,26.0,26.51,0.0,0.0,0.0,0.0,0.0,82.0,3.0,76.0,72.0,6.83,12.0,0.0,7.0,6.0,12.0,1,24
RP Meredith,18,415,621,21,25,2,147,63,26,388,64.4,9.6,29.57,18.48,35.42,158.0,2.0,114.0,108.0,8.78,219.0,5.0,157.0,150.0,8.76,244.0,14.0,144.0,130.0,11.26,3,27
RP Singh,82,1874,2417,100,86,13,744,254,70,1775,295.5,8.17,24.17,17.75,39.7,1237.0,35.0,1060.0,1002.0,7.41,343.0,10.0,258.0,246.0,8.37,837.0,55.0,556.0,527.0,9.53,5,22
RR Bhatkal,1,12,35,0,0,0,0,2,3,12,2.0,17.5,999.0,999.0,0.0,20.0,0.0,6.0,6.0,20.0,15.0,0.0,6.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0,35
RR Bose,1,12,24,0,0,0,5,5,0,12,2.0,12.0,999.0,999.0,41.67,24.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24
RR Powar,26,443,538,15,16,1,166,41,18,426,71.0,7.58,35.87,28.4,37.47,171.0,6.0,140.0,132.0,7.77,332.0,7.0,279.0,270.0,7.38,35.0,2.0,24.0,24.0,8.75,2,23
RR Raje,10,144,214,7,4,1,39,23,4,139,23.1,9.24,30.57,19.86,27.08,9.0,0.0,7.0,6.0,9.0,141.0,6.0,99.0,96.0,8.81,64.0,1.0,38.0,37.0,10.38,2,19
RS Bopara,14,213,301,13,7,0,61,25,10,206,34.2,8.77,23.15,15.85,28.64,0.0,0.0,0.0,0.0,0.0,231.0,11.0,171.0,164.0,8.45,70.0,2.0,42.0,42.0,10.0,3,31
RS Gavaskar,1,6,8,0,0,0,2,1,0,6,1.0,8.0,999.0,999.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,6.0,8.0,0,8
