bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
W O'Rourke,3,64,132,6,2,0,15,16,6,62,10.2,12.77,22.0,10.33,23.44,52.0,2.0,25.0,24.0,13.0,50.0,2.0,25.0,24.0,12.5,30.0,2.0,14.0,14.0,12.86,3,27
WA Mota,7,75,98,4,2,1,24,4,5,72,12.0,8.17,24.5,18.0,32.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,50.0,48.0,6.25,48.0,1.0,25.0,24.0,12.0,1,24
WD Parnell,33,758,968,40,29,6,296,102,24,723,120.3,8.03,24.2,18.08,39.05,490.0,16.0,393.0,372.0,7.9,141.0,3.0,122.0,120.0,7.05,337.0,21.0,243.0,231.0,8.75,4,36
WG Jacks,13,145,221,8,6,1,42,17,11,138,23.0,9.61,27.62,17.25,28.97,60.0,2.0,37.0,36.0,10.0,149.0,6.0,101.0,96.0,9.31,12.0,0.0,7.0,6.0,12.0,2,14
WPUJC Vaas,13,288,364,22,4,2,128,40,13,282,47.0,7.74,16.55,12.82,44.44,211.0,17.0,200.0,198.0,6.39,57.0,1.0,39.0,36.0,9.5,96.0,4.0,49.0,48.0,12.0,3,52
Washington Sundar,63,1131,1447,41,10,2,371,97,65,1119,186.3,7.76,35.29,27.29,32.8,547.0,14.0,391.0,384.0,8.55,773.0,22.0,659.0,654.0,7.09,127.0,5.0,81.0,81.0,9.41,3,16
XC Bartlett,4,60,96,2,0,0,28,11,5,60,10.0,9.6,48.0,30.0,46.67,72.0,2.0,48.0,48.0,9.0,24.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1,30
Y Gnaneswara Rao,1,6,7,0,0,0,3,1,0,6,1.0,7.0,999.0,999.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,7
Y Nagar,8,72,125,4,2,4,16,11,6,66,11.0,11.36,31.25,16.5,22.22,10.0,0.0,6.0,6.0,10.0,115.0,4.0,66.0,60.0,11.5,0.0,0.0,0.0,0.0,0.0,2,20
Y Prithvi Raj,2,33,57,1,3,0,8,6,2,30,5.0,11.4,57.0,30.0,24.24,33.0,0.0,13.0,12.0,16.5,24.0,1.0,20.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,1,29
Y Venugopal Rao,20,222,338,7,6,0,59,30,13,216,36.0,9.39,48.29,30.86,26.58,67.0,1.0,42.0,42.0,9.57,218.0,5.0,156.0,150.0,8.72,53.0,1.0,24.0,24.0,13.25,2,25
YA Abdulla,11,222,311,15,12,1,88,32,13,209,34.5,8.93,20.73,13.93,39.64,103.0,7.0,89.0,84.0,7.36,92.0,2.0,69.0,66.0,8.36,116.0,6.0,64.0,59.0,11.8,4,31
YBK Jaiswal,1,1,6,0,0,0,0,0,1,1,0.1,36.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,36.0,0,6
YK Pathan,82,1184,1443,46,37,0,393,99,57,1147,191.1,7.55,31.37,24.93,33.19,402.0,15.0,368.0,354.0,6.81,914.0,27.0,735.0,714.0,7.68,127.0,4.0,81.0,79.0,9.65,3,22
YS Chahal,172,3905,5112,229,105,9,1266,299,250,3791,631.5,8.09,22.32,16.55,32.42,538.0,19.0,409.0,404.0,7.99,3555.0,141.0,2824.0,2744.0,7.77,1019.0,69.0,672.0,643.0,9.51,5,40
Yash Dayal,43,920,1412,45,39,10,307,139,58,871,145.1,9.73,31.38,19.36,33.37,701.0,17.0,454.0,438.0,9.6,289.0,9.0,214.0,205.0,8.46,422.0,19.0,252.0,228.0,11.11,4,20
Yash Thakur,21,475,782,28,28,4,138,64,43,443,73.5,10.59,27.93,15.82,29.05,184.0,7.0,114.0,108.0,10.22,252.0,5.0,164.0,154.0,9.82,346.0,16.0,197.0,181.0,11.47,5,31
Yudhvir Singh,9,145,257,8,6,1,54,28,13,138,23.0,11.17,32.12,17.25,37.24,148.0,6.0,88.0,84.0,10.57,73.0,1.0,39.0,36.0,12.17,36.0,1.0,18.0,18.0,12.0,3,48
Yuvraj Singh,73,882,1091,39,12,1,258,59,41,869,144.5,7.53,27.97,22.28,29.25,0.0,0.0,0.0,0.0,0.0,933.0,33.0,768.0,756.0,7.4,158.0,6.0,114.0,113.0,8.39,4,29
Z Khan,99,2276,2860,119,74,2,873,312,64,2200,366.4,7.8,24.03,18.49,38.36,1492.0,58.0,1346.0,1292.0,6.93,422.0,15.0,310.0,301.0,8.41,946.0,46.0,620.0,607.0,9.35,4,21
Zeeshan Ansari,10,209,334,8,5,1,47,24,17,203,33.5,9.87,41.75,25.38,22.49,0.0,0.0,0.0,0.0,0.0,284.0,8.0,184.0,180.0,9.47,50.0,0.0,25.0,23.0,13.04,3,42
